parcel_id,property_address,assessed_value,owner_name,property_type,last_assessment_date
PAR000000,0 Main Street,250000,Owner 0,Residential,2025-09-16T09:52:44.680292
PAR000001,1 Main Street,251000,Owner 1,Residential,2025-09-16T09:52:44.680314
PAR000002,2 Main Street,252000,Owner 2,Residential,2025-09-16T09:52:44.680320
PAR000003,3 Main Street,253000,Owner 3,Residential,2025-09-16T09:52:44.680324
PAR000004,4 Main Street,254000,Owner 4,Residential,2025-09-16T09:52:44.680416
PAR000005,5 Main Street,255000,Owner 5,Residential,2025-09-16T09:52:44.680424
PAR000006,6 Main Street,256000,Owner 6,Residential,2025-09-16T09:52:44.680427
PAR000007,7 Main Street,257000,Owner 7,Residential,2025-09-16T09:52:44.680429
PAR000008,8 Main Street,258000,Owner 8,Residential,2025-09-16T09:52:44.680432
PAR000009,9 Main Street,259000,Owner 9,Residential,2025-09-16T09:52:44.680434
PAR000010,10 Main Street,260000,Owner 10,Residential,2025-09-16T09:52:44.680436
PAR000011,11 Main Street,261000,Owner 11,Residential,2025-09-16T09:52:44.680439
PAR000012,12 Main Street,262000,Owner 12,Residential,2025-09-16T09:52:44.680441
PAR000013,13 Main Street,263000,Owner 13,Residential,2025-09-16T09:52:44.680443
PAR000014,14 Main Street,264000,Owner 14,Residential,2025-09-16T09:52:44.680446
PAR000015,15 Main Street,265000,Owner 15,Residential,2025-09-16T09:52:44.680448
PAR000016,16 Main Street,266000,Owner 16,Residential,2025-09-16T09:52:44.680450
PAR000017,17 Main Street,267000,Owner 17,Residential,2025-09-16T09:52:44.680452
PAR000018,18 Main Street,268000,Owner 18,Residential,2025-09-16T09:52:44.680461
PAR000019,19 Main Street,269000,Owner 19,Residential,2025-09-16T09:52:44.680463
PAR000020,20 Main Street,270000,Owner 20,Residential,2025-09-16T09:52:44.680465
PAR000021,21 Main Street,271000,Owner 21,Residential,2025-09-16T09:52:44.680467
PAR000022,22 Main Street,272000,Owner 22,Residential,2025-09-16T09:52:44.680470
PAR000023,23 Main Street,273000,Owner 23,Residential,2025-09-16T09:52:44.680473
PAR000024,24 Main Street,274000,Owner 24,Residential,2025-09-16T09:52:44.680476
PAR000025,25 Main Street,275000,Owner 25,Residential,2025-09-16T09:52:44.680479
PAR000026,26 Main Street,276000,Owner 26,Residential,2025-09-16T09:52:44.680481
PAR000027,27 Main Street,277000,Owner 27,Residential,2025-09-16T09:52:44.680484
PAR000028,28 Main Street,278000,Owner 28,Residential,2025-09-16T09:52:44.680486
PAR000029,29 Main Street,279000,Owner 29,Residential,2025-09-16T09:52:44.680488
PAR000030,30 Main Street,280000,Owner 30,Residential,2025-09-16T09:52:44.680490
PAR000031,31 Main Street,281000,Owner 31,Residential,2025-09-16T09:52:44.680493
PAR000032,32 Main Street,282000,Owner 32,Residential,2025-09-16T09:52:44.680495
PAR000033,33 Main Street,283000,Owner 33,Residential,2025-09-16T09:52:44.680497
PAR000034,34 Main Street,284000,Owner 34,Residential,2025-09-16T09:52:44.680504
PAR000035,35 Main Street,285000,Owner 35,Residential,2025-09-16T09:52:44.680506
PAR000036,36 Main Street,286000,Owner 36,Residential,2025-09-16T09:52:44.680508
PAR000037,37 Main Street,287000,Owner 37,Residential,2025-09-16T09:52:44.680510
PAR000038,38 Main Street,288000,Owner 38,Residential,2025-09-16T09:52:44.680513
PAR000039,39 Main Street,289000,Owner 39,Residential,2025-09-16T09:52:44.680515
PAR000040,40 Main Street,290000,Owner 40,Residential,2025-09-16T09:52:44.680517
PAR000041,41 Main Street,291000,Owner 41,Residential,2025-09-16T09:52:44.680520
PAR000042,42 Main Street,292000,Owner 42,Residential,2025-09-16T09:52:44.680522
PAR000043,43 Main Street,293000,Owner 43,Residential,2025-09-16T09:52:44.680535
PAR000044,44 Main Street,294000,Owner 44,Residential,2025-09-16T09:52:44.680537
PAR000045,45 Main Street,295000,Owner 45,Residential,2025-09-16T09:52:44.680539
PAR000046,46 Main Street,296000,Owner 46,Residential,2025-09-16T09:52:44.680541
PAR000047,47 Main Street,297000,Owner 47,Residential,2025-09-16T09:52:44.680544
PAR000048,48 Main Street,298000,Owner 48,Residential,2025-09-16T09:52:44.680546
PAR000049,49 Main Street,299000,Owner 49,Residential,2025-09-16T09:52:44.680548
PAR000050,50 Main Street,300000,Owner 50,Residential,2025-09-16T09:52:44.680554
PAR000051,51 Main Street,301000,Owner 51,Residential,2025-09-16T09:52:44.680556
PAR000052,52 Main Street,302000,Owner 52,Residential,2025-09-16T09:52:44.680558
PAR000053,53 Main Street,303000,Owner 53,Residential,2025-09-16T09:52:44.680561
PAR000054,54 Main Street,304000,Owner 54,Residential,2025-09-16T09:52:44.680563
PAR000055,55 Main Street,305000,Owner 55,Residential,2025-09-16T09:52:44.680565
PAR000056,56 Main Street,306000,Owner 56,Residential,2025-09-16T09:52:44.680567
PAR000057,57 Main Street,307000,Owner 57,Residential,2025-09-16T09:52:44.680570
PAR000058,58 Main Street,308000,Owner 58,Residential,2025-09-16T09:52:44.680572
PAR000059,59 Main Street,309000,Owner 59,Residential,2025-09-16T09:52:44.680574
PAR000060,60 Main Street,310000,Owner 60,Residential,2025-09-16T09:52:44.680576
PAR000061,61 Main Street,311000,Owner 61,Residential,2025-09-16T09:52:44.680578
PAR000062,62 Main Street,312000,Owner 62,Residential,2025-09-16T09:52:44.680580
PAR000063,63 Main Street,313000,Owner 63,Residential,2025-09-16T09:52:44.680586
PAR000064,64 Main Street,314000,Owner 64,Residential,2025-09-16T09:52:44.680589
