asset_id,asset_name,source,location,category,atlas_value,academy_value,os_value,conference_value,commercial_value,government_value,effort_required,readiness,risk,recommended_action,evidence,notes
A-001,PropertyWorkbench (6-tab hub),active-codebase,frontend/apps/os-shell/src/pages/workbench/,component,5,3,3,5,4,5,1,Green,Low,Wire to demo parcel route,2412 lines across tabs; live routes exist,Core Atlas dossier shell
A-002,PropertyDossier tab,active-codebase,frontend/.../workbench/tabs/PropertyDossier.tsx,component,5,2,2,5,4,5,1,Green,Low,Use as-is for /atlas/dossier/demo,537 lines; wired to DossierController API,Real API integration exists
A-003,DossierController API,active-codebase,backend/src/TerraFusion.API/Controllers/DossierController.cs,api,5,2,3,5,5,5,1,Green,Low,Serve Atlas dossier data,1370 lines; county isolation; notes CRUD,Production-grade backend
A-004,PropertySearch page,active-codebase,frontend/.../pages/PropertySearch.tsx,component,5,1,1,4,4,4,1,Green,Low,Use as /atlas/search,~180 lines; parcel browse/search,Entry point for Atlas
A-005,AtlasSuiteHome (7 GIS modules),active-codebase,frontend/.../pages/suites/AtlasSuiteHome.tsx,component,5,1,2,4,4,4,1,Green,Low,Use for /atlas route,~130 lines; TerraGIS ParcelLens LayerWorks etc,Already exists at /atlas
A-006,ForgeSuiteHome (6 valuation modules),active-codebase,frontend/.../pages/suites/ForgeSuiteHome.tsx,component,4,5,2,4,5,5,1,Green,Low,Academy valuation demos,~120 lines; CostForge CompsForge IncomeForge etc,All three approaches to value
A-007,CostForgeModule,active-codebase,frontend/.../suites/modules/CostForgeModule.tsx,component,4,5,2,4,5,5,1,Green,Low,Academy cost approach entry,954 lines; full calculator,Highest-value Academy asset
A-008,AppealForgeModule (BOE),active-codebase,frontend/.../suites/modules/AppealForgeModule.tsx,component,3,5,2,4,4,5,1,Green,Low,Academy BOE prep entry,613 lines; appeal preparation,Maps to BOE codex entry
A-009,IncomeForgeModule,active-codebase,frontend/.../suites/modules/IncomeForgeModule.tsx,component,3,5,2,4,5,5,1,Green,Low,Academy income analysis entry,636 lines; direct cap calculator,Maps to income codex entry
A-010,CompsForgeModule,active-codebase,frontend/.../suites/modules/CompsForgeModule.tsx,component,4,4,2,4,5,5,1,Green,Low,Atlas+Academy sales comparison,586 lines; comparable sales,Maps to sales validation codex
A-011,ReconciliationModule,active-codebase,frontend/.../suites/modules/ReconciliationModule.tsx,component,3,4,3,4,5,4,1,Green,Low,Academy reconciliation demo,537 lines; 3-approach reconciliation,Key professional skill
A-012,TerraPrintModule (PDF),active-codebase,frontend/.../suites/modules/TerraPrintModule.tsx,component,4,3,2,4,4,4,1,Green,Low,Atlas PDF export + fallback material,306 lines; 6 templates incl BOE packet,Critical for fallback PDFs
A-013,GptSuiteHome,active-codebase,frontend/.../pages/suites/GptSuiteHome.tsx,component,2,5,2,4,4,4,2,Yellow,Low,Rebrand as Academy Ask shell,~100 lines; GPT Studio + Builder,Needs Academy framing
A-014,AI Prompts (14 govt),active-codebase,backend/src/TerraFusion.AI/Prompts/,content,3,5,3,4,4,5,1,Green,Low,Power Academy Ask responses,5 categories; expert-level prompts,Ready to deploy
A-015,RAG Knowledge Base (CAMA),active-codebase,QUARANTINE/.../rag/benton-cama/,content,3,5,2,4,4,5,2,Yellow,Medium,Academy codex content source,392 lines; valuation policy + workflow,Needs extraction from quarantine
A-016,BOEArguer Agent,active-codebase,QUARANTINE/.../agents/BOEArguer.ts,agent,2,5,4,4,4,5,2,Yellow,Medium,OS handoff demo + Academy BOE,404 lines; Claude-powered; structured cases,In quarantine — needs extraction
A-017,terra-agent MCP tools (11),active-codebase,QUARANTINE/.../terra-agent/mcp-server/src/tools/,tools,3,3,5,3,4,5,3,Yellow,Medium,OS intelligence handoff demo,1584 lines; property assessment tools,In quarantine — evaluate extraction
A-018,ShellHome (OS launcher),active-codebase,frontend/.../shell/home/ShellHome.tsx,component,2,2,5,4,4,4,1,Green,Low,OS demo entry point,~250 lines; macOS Tahoe tile grid,Already live at /home
A-019,PropertyAtlas tab (GIS),active-codebase,frontend/.../workbench/tabs/PropertyAtlas.tsx,component,5,2,2,4,4,4,1,Green,Low,Atlas map visualization,527 lines; SVG map + layers,SVG not real GIS — note limitation
