transaction_id,account_code,amount,transaction_date,description
TXN00000000,101-000,0.0,2025-09-19T00:39:36.157356,Transaction 0
TXN00000001,101-001,123.45,2025-09-19T00:39:36.157365,Transaction 1
TXN00000002,101-002,246.9,2025-09-19T00:39:36.157367,Transaction 2
TXN00000003,101-003,370.35,2025-09-19T00:39:36.157369,Transaction 3
TXN00000004,101-004,493.8,2025-09-19T00:39:36.157371,Transaction 4
TXN00000005,101-005,617.25,2025-09-19T00:39:36.157373,Transaction 5
TXN00000006,101-006,740.7,2025-09-19T00:39:36.157375,Transaction 6
TXN00000007,101-007,864.15,2025-09-19T00:39:36.157377,Transaction 7
TXN00000008,101-008,987.6,2025-09-19T00:39:36.157384,Transaction 8
TXN00000009,101-009,1111.05,2025-09-19T00:39:36.157386,Transaction 9
TXN00000010,101-000,1234.5,2025-09-19T00:39:36.157388,Transaction 10
TXN00000011,101-001,1357.95,2025-09-19T00:39:36.157390,Transaction 11
TXN00000012,101-002,1481.4,2025-09-19T00:39:36.157392,Transaction 12
TXN00000013,101-003,1604.85,2025-09-19T00:39:36.157394,Transaction 13
TXN00000014,101-004,1728.3,2025-09-19T00:39:36.157396,Transaction 14
TXN00000015,101-005,1851.75,2025-09-19T00:39:36.157398,Transaction 15
TXN00000016,101-006,1975.2,2025-09-19T00:39:36.157400,Transaction 16
TXN00000017,101-007,2098.65,2025-09-19T00:39:36.157401,Transaction 17
TXN00000018,101-008,2222.1,2025-09-19T00:39:36.157403,Transaction 18
TXN00000019,101-009,2345.55,2025-09-19T00:39:36.157405,Transaction 19
TXN00000020,101-000,2469.0,2025-09-19T00:39:36.157407,Transaction 20
TXN00000021,101-001,2592.45,2025-09-19T00:39:36.157408,Transaction 21
TXN00000022,101-002,2715.9,2025-09-19T00:39:36.157410,Transaction 22
TXN00000023,101-003,2839.35,2025-09-19T00:39:36.157412,Transaction 23
TXN00000024,101-004,2962.8,2025-09-19T00:39:36.157414,Transaction 24
TXN00000025,101-005,3086.25,2025-09-19T00:39:36.157415,Transaction 25
TXN00000026,101-006,3209.7,2025-09-19T00:39:36.157417,Transaction 26
TXN00000027,101-007,3333.15,2025-09-19T00:39:36.157419,Transaction 27
TXN00000028,101-008,3456.6,2025-09-19T00:39:36.157420,Transaction 28
TXN00000029,101-009,3580.05,2025-09-19T00:39:36.157422,Transaction 29
TXN00000030,101-000,3703.5,2025-09-19T00:39:36.157424,Transaction 30
TXN00000031,101-001,3826.95,2025-09-19T00:39:36.157426,Transaction 31
TXN00000032,101-002,3950.4,2025-09-19T00:39:36.157427,Transaction 32
TXN00000033,101-003,4073.85,2025-09-19T00:39:36.157429,Transaction 33
TXN00000034,101-004,4197.3,2025-09-19T00:39:36.157431,Transaction 34
TXN00000035,101-005,4320.75,2025-09-19T00:39:36.157432,Transaction 35
TXN00000036,101-006,4444.2,2025-09-19T00:39:36.157434,Transaction 36
TXN00000037,101-007,4567.65,2025-09-19T00:39:36.157436,Transaction 37
TXN00000038,101-008,4691.1,2025-09-19T00:39:36.157438,Transaction 38
TXN00000039,101-009,4814.55,2025-09-19T00:39:36.157440,Transaction 39
TXN00000040,101-000,4938.0,2025-09-19T00:39:36.157442,Transaction 40
TXN00000041,101-001,5061.45,2025-09-19T00:39:36.157444,Transaction 41
TXN00000042,101-002,5184.9,2025-09-19T00:39:36.157445,Transaction 42
TXN00000043,101-003,5308.35,2025-09-19T00:39:36.157447,Transaction 43
TXN00000044,101-004,5431.8,2025-09-19T00:39:36.157449,Transaction 44
TXN00000045,101-005,5555.25,2025-09-19T00:39:36.157450,Transaction 45
TXN00000046,101-006,5678.7,2025-09-19T00:39:36.157452,Transaction 46
TXN00000047,101-007,5802.15,2025-09-19T00:39:36.157454,Transaction 47
TXN00000048,101-008,5925.6,2025-09-19T00:39:36.157456,Transaction 48
TXN00000049,101-009,6049.05,2025-09-19T00:39:36.157458,Transaction 49
TXN00000050,101-000,6172.5,2025-09-19T00:39:36.157459,Transaction 50
TXN00000051,101-001,6295.95,2025-09-19T00:39:36.157461,Transaction 51
TXN00000052,101-002,6419.4,2025-09-19T00:39:36.157463,Transaction 52
TXN00000053,101-003,6542.85,2025-09-19T00:39:36.157465,Transaction 53
TXN00000054,101-004,6666.3,2025-09-19T00:39:36.157466,Transaction 54
TXN00000055,101-005,6789.75,2025-09-19T00:39:36.157468,Transaction 55
